order_id,date,product_name,quantity
512-10-7471,2022-06-12,Potatoes - Mini White 3 Oz,1
336-29-0976,2022-06-15,"Thyme - Lemon, Fresh",78
293-14-5062,2022-05-12,Beef Ground Medium,63
758-09-1655,2022-06-01,Wine - Rosso Del Veronese Igt,82
229-95-0317,2022-06-13,Wine - Zinfandel Rosenblum,15
481-25-7163,2022-06-02,Tomato - Tricolor Cherry,46
644-36-2279,2022-06-28,Kellogs All Bran Bars,54
599-05-7757,2022-05-18,Muffin Hinge - 211n,6
247-68-9333,2022-05-20,"Carrots - Purple, Organic",51
431-73-0174,2022-06-07,"Bar Mix - Pina Colada, 355 Ml",41
479-63-9949,2022-05-23,"Chestnuts - Whole,canned",72
407-52-8033,2022-06-16,Wine - Fume Blanc Fetzer,67
147-75-5497,2022-05-18,Butter - Pod,17
153-82-5012,2022-06-05,Wine - Coteaux Du Tricastin Ac,72
608-70-6652,2022-05-22,Shiro Miso,73
779-50-9916,2022-05-03,Pan Grease,47
343-87-0073,2022-06-03,Vinegar - Champagne,79
847-59-7597,2022-06-26,General Purpose Trigger,20
689-79-8179,2022-05-03,"Loaf Pan - 2 Lb, Foil",52
398-97-3805,2022-06-04,Lettuce - California Mix,16
212-02-6898,2022-05-18,Breakfast Quesadillas,26
808-29-1220,2022-06-01,Beans - Fava Fresh,16
853-47-2358,2022-05-19,"Wine - Red, Black Opal Shiraz",1
281-06-2489,2022-06-14,Fish - Bones,35
822-84-5313,2022-06-10,Chevere Logs,6
830-16-8008,2022-06-06,Longos - Lasagna Beef,66
127-59-8909,2022-05-25,"Nut - Pecan, Halves",58
717-96-2034,2022-06-09,Lettuce - Iceberg,59
874-84-1326,2022-06-06,Lettuce - Baby Salad Greens,53
301-89-5985,2022-06-27,Cheese - Perron Cheddar,13
562-78-1964,2022-06-17,"Tomatoes - Plum, Canned",52
645-17-0921,2022-06-18,"Sauce - Soya, Light",61
814-77-8588,2022-06-03,Corn - Mini,42
637-22-6878,2022-05-19,Salt - Seasoned,23
389-74-9918,2022-06-19,Wine - Cabernet Sauvignon,73
132-42-5414,2022-06-24,Flour - Strong,46
589-30-1996,2022-05-02,"Pork - Chop, Frenched",47
215-94-1071,2022-05-13,Lobster - Cooked,74
805-61-9059,2022-05-29,Wine - Crozes Hermitage E.,89
617-82-0694,2022-05-17,Bagelers,52
882-65-5329,2022-06-01,Hummus - Spread,66
510-12-9992,2022-05-07,Dish Towel,48
472-43-7467,2022-05-29,Vaccum Bag - 14x20,9
634-10-9582,2022-05-27,"Juice - Pineapple, 341 Ml",29
538-39-7354,2022-05-28,Trout - Smoked,31
254-28-9423,2022-05-07,Potatoes - Yukon Gold 5 Oz,5
273-02-4981,2022-06-26,Madeira,73
722-16-8054,2022-06-03,Cheese Cloth No 100,5
169-22-6407,2022-05-16,Coffee - Dark Roast,12
657-01-0288,2022-05-09,Allspice - Jamaican,23
551-13-4523,2022-06-05,Cream Of Tartar,10
517-47-6286,2022-06-19,"Chocolate - Pistoles, Lactee, Milk",13
232-22-6992,2022-05-05,"Bread - Dark Rye, Loaf",71
570-75-5803,2022-05-27,Potatoes - Mini White 3 Oz,42
223-59-5060,2022-06-23,Plastic Wrap,42
850-50-7688,2022-06-09,Worcestershire Sauce,11
324-31-2633,2022-05-25,Soup - Campbellschix Stew,99
605-09-5596,2022-06-08,Bagel - Everything Presliced,54
850-52-9824,2022-05-26,"Mushroom - Porcini, Dry",34
102-65-0198,2022-05-15,Carrots - Mini Red Organic,26
357-50-6604,2022-06-01,Papadam,84
117-40-3307,2022-05-04,Pork - Caul Fat,68
601-63-5142,2022-06-17,Snapple - Mango Maddness,100
271-32-8498,2022-05-21,"Cup - 3.5oz, Foam",37
380-89-1099,2022-06-12,Tamarillo,88
453-81-1076,2022-05-20,Sausage - Blood Pudding,29
533-03-3450,2022-05-29,"Lettuce - Romaine, Heart",80
315-30-5348,2022-05-16,Red Pepper Paste,84
524-98-0993,2022-06-22,Oats Large Flake,52
208-47-6020,2022-05-03,Island Oasis - Peach Daiquiri,92
319-87-0556,2022-05-10,Milk - Skim,42
258-73-4976,2022-05-23,Sauce - Cranberry,81
798-06-1559,2022-05-17,Flavouring - Orange,29
493-29-4091,2022-06-02,Cakes Assorted,64
301-67-2471,2022-06-01,Wine - Lamancha Do Crianza,23
850-65-4623,2022-05-09,Soup - Chicken And Wild Rice,87
715-96-9372,2022-05-18,"Vinegar - Balsamic, White",33
124-27-8683,2022-05-05,Eggplant Italian,53
348-17-7289,2022-06-16,Beans - Fava Fresh,27
661-07-6445,2022-05-19,Ketchup - Tomato,85
667-83-2491,2022-06-02,Lemon Tarts,85
417-68-6812,2022-05-10,Pancetta,15
544-55-3597,2022-06-02,Snails - Large Canned,51
712-94-3659,2022-06-26,"Liqueur Banana, Ramazzotti",65
188-65-1641,2022-05-20,Cake - Lemon Chiffon,88
713-50-4824,2022-06-13,Cafe Royale,78
514-35-4892,2022-06-10,Yams,56
